carat,cut,color,clarity,depth,table,price,x,y,z
0.5,Premium,I,SI1,61.7,58,1059,5.15,5.09,3.16
0.74,Premium,F,SI2,59.6,58,2328,5.91,5.87,3.51
1.5,Very Good,H,VS1,63.4,59,10652,7.13,7.2,4.54
1.01,Premium,I,SI1,61.8,58,4072,6.45,6.37,3.96
0.33,Very Good,E,VS2,61.9,58,627,4.42,4.47,2.75
0.71,Ideal,H,VVS1,62,57,2739,5.71,5.75,3.55
1.01,Good,F,SI1,60.5,64,4989,6.48,6.45,3.91
1.21,Very Good,J,VS1,59.3,57,5604,6.98,7.04,4.16
0.71,Ideal,G,SI1,61.7,56,2518,5.74,5.77,3.55
0.31,Premium,E,VS2,60.3,58,872,4.42,4.37,2.65
1.74,Good,H,SI1,60.6,62,12032,7.74,7.8,4.71
0.63,Premium,H,VS1,62.9,60,1921,5.45,5.33,3.39
2,Fair,F,SI2,70.2,57,15351,7.63,7.59,5.34
0.39,Ideal,E,VS2,60.5,56,839,4.75,4.77,2.88
2.56,Good,J,SI2,63.6,62,15231,8.62,8.57,5.47
0.56,Very Good,F,VS2,60,57,1627,5.34,5.39,3.22
0.33,Ideal,G,VVS1,61.8,59,802,4.45,4.48,2.76
2.03,Very Good,G,SI1,60.1,60,18630,8.09,8.18,4.89
1.01,Fair,E,SI1,69.5,55,4853,6,5.94,4.15
0.3,Ideal,H,VS1,62.5,56,526,4.24,4.27,2.66
0.35,Premium,D,SI1,61,60,644,4.54,4.58,2.78
0.66,Ideal,E,SI2,61.9,55,1560,5.61,5.64,3.48
0.51,Ideal,E,SI1,62.2,57,1546,5.12,5.08,3.17
1.01,Ideal,E,SI1,61.6,57,5206,6.44,6.49,3.98
0.5,Good,E,VVS1,58.3,62,2008,5.16,5.23,3.03
2.11,Premium,H,SI2,60.9,59,12633,8.3,8.25,5.04
0.41,Ideal,F,VS1,62.3,55,1007,4.77,4.79,2.98
0.3,Very Good,D,SI1,62.1,58,552,4.25,4.28,2.65
0.95,Good,E,VS2,57.7,58,5272,6.47,6.52,3.75
1.51,Premium,H,VS1,61,60,11161,7.29,7.34,4.46
0.77,Very Good,E,VS1,59.4,61,3488,5.98,5.94,3.54
1.01,Very Good,H,VS2,62.8,59,5559,6.33,6.38,3.99
